date,base_max,base_min,break_max,break_min,direction,break_time,break_key_point,pre_enter,enter_point,enter_time,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/03/04,10400,10344,10357,10333,down,09:10:00,10341,10339,10341,09:36:00,31,09:45:00,65,10:42:00,2,09:36:00
2019/03/05,10268,10248,10279,10257,up,09:05:00,10272,10273,10273,09:04:00,2,09:18:00,18,09:16:00,4,09:04:00
2019/03/06,10304,10282,10320,10298,up,09:05:00,10313,10309,10309,09:04:00,2,09:43:00,18,09:38:00,15,09:31:00
2019/03/07,10319,10304,10324,10315,up,09:05:00,10321,10324,10324,09:04:00,-27,09:41:00,11,09:14:00,34,09:59:00
2019/03/08,10236,10219,10228,10212,down,09:00:00,10217,10214,10217,10:42:00,-27,10:47:00,12,10:42:00,27,10:47:00
2019/03/11,10185,10168,10195,10183,up,09:10:00,10191,10190,10190,09:09:00,31,09:31:00,35,09:34:00,12,09:13:00
2019/03/12,10327,10300,10340,10321,up,09:25:00,10334,10332,10332,09:04:00,31,09:46:00,53,11:10:00,17,09:15:00
2019/03/13,10332,10322,10345,10327,up,09:05:00,10339,10337,10337,09:04:00,-27,10:30:00,10,11:26:00,32,10:33:00
2019/03/14,10392,10370,10378,10363,down,09:15:00,10368,10365,10365,09:14:00,31,11:29:00,31,11:29:00,13,09:20:00
2019/03/15,10363,10347,10367,10357,up,09:15:00,10364,10368,10364,09:16:00,31,09:37:00,66,11:01:00,6,09:18:00
2019/03/18,10440,10425,10448,10424,up,09:05:00,10440,10445,10445,09:04:00,21,11:30:00,29,10:59:00,25,09:19:00
2019/03/19,10492,10477,10486,10474,down,09:05:00,10478,10472,10478,09:06:00,-27,11:28:00,17,09:56:00,27,11:28:00
2019/03/20,10504,10492,10510,10498,up,09:00:00,10506,10509,10509,08:59:00,4,11:30:00,24,11:02:00,9,10:15:00
2019/03/21,10554,10532,10564,10549,up,09:20:00,10559,10559,10559,09:19:00,18,11:30:00,28,10:48:00,24,09:31:00
2019/03/22,10652,10639,10654,10633,down,09:05:00,10640,10634,10634,09:04:00,31,10:19:00,74,11:01:00,25,09:37:00
2019/03/25,10479,10461,10473,10456,down,09:00:00,10461,10456,10461,09:12:00,2,09:43:00,23,09:22:00,3,09:12:00
2019/03/26,10501,10480,10514,10497,up,09:05:00,10509,10506,10506,09:04:00,31,09:36:00,32,09:36:00,4,11:21:00
2019/03/27,10513,10486,10499,10476,down,09:15:00,10483,10481,10483,09:16:00,-27,09:43:00,10,09:16:00,48,11:17:00
2019/03/28,10462,10444,10476,10457,up,09:00:00,10470,10467,10467,08:59:00,31,09:03:00,44,10:52:00,11,09:46:00
2019/03/29,10568,10549,10565,10536,down,09:00:00,10545,10544,10545,11:03:00,-27,11:16:00,5,11:03:00,31,11:16:00
