date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/12/02,11532,11517,11533,11512,down,09:05:00,11526.0,down,09:44:00,11504,down,09:29:00,11526.0,32,09:46:00,67.0,10:05:00,1.0,09:29:00
2019/12/03,11458,11439,11482,11451,up,09:05:00,11462.0,up,09:04:00,11472,up,09:04:00,11472,34,10:45:00,53,10:23:00,3,09:04:00
2019/12/04,11496,11477,11486,11470,down,09:10:00,11480.0,down,09:15:00,11464,down,09:23:00,11480.0,-3.0,10:45:00,4.0,09:23:00,20.0,09:37:00
2019/12/05,11558,11532,11568,11547,up,09:10:00,11554.0,up,09:14:00,11576,,,,,,,,,
2019/12/06,11670,11637,11652,11635,down,10:40:00,11646.0,down,10:49:00,11624,,,,,,,,,
2019/12/09,11676,11641,11655,11633,down,09:10:00,11647.0,up,10:39:00,11689,down,09:13:00,11647.0,-28,09:35:00,7.0,09:16:00,52.0,10:44:00
2019/12/10,11656,11644,11655,11641,down,09:05:00,11650.0,down,09:49:00,11631,down,09:13:00,11650.0,14.0,10:45:00,25.0,10:01:00,2.0,09:15:00
2019/12/11,11606,11594,11615,11599,up,09:00:00,11605.0,up,09:09:00,11619,up,09:04:00,11605.0,32,09:50:00,59.0,10:41:00,0,
2019/12/12,11774,11754,11789,11765,up,09:05:00,11773.0,up,09:04:00,11787,up,09:04:00,11787,55,09:42:00,100,10:37:00,10,09:06:00
2019/12/13,12007,11972,11979,11953,down,09:20:00,11970.0,down,09:14:00,11959,down,09:14:00,11959,-14,09:15:00,42,10:29:00,32,09:29:00
2019/12/16,11944,11925,11948,11938,up,09:20:00,11942.0,up,09:35:00,11957,up,09:22:00,11942.0,32,09:47:00,34.0,10:24:00,5.0,10:45:00
2019/12/17,11982,11945,11988,11974,up,09:10:00,11979.0,up,09:34:00,11995,up,09:14:00,11979.0,32,09:50:00,37.0,10:39:00,7.0,09:17:00
2019/12/18,12078,12065,12080,12066,up,09:15:00,12071.0,up,09:29:00,12091,,,,,,,,,
2019/12/19,12115,12099,12108,12086,down,09:00:00,12100.0,down,08:59:00,12086,down,08:59:00,12086,60,09:41:00,64,09:42:00,14,09:02:00
2019/12/20,12063,12038,12046,12007,down,09:05:00,12033.0,down,09:04:00,12025,down,09:04:00,12025,55,09:19:00,74,09:22:00,20,09:59:00
2019/12/23,12020,11986,12005,11979,down,09:35:00,11996.0,down,09:44:00,11973,down,09:36:00,11979,-28,10:03:00,7,09:43:00,35,10:04:00
2019/12/24,12044,12022,12029,12013,down,09:05:00,12023.0,down,09:29:00,12005,down,09:08:00,12023.0,0,10:17:00,26.0,10:02:00,3.0,09:10:00
2019/12/25,11995,11976,11999,11978,up,09:05:00,11985.0,up,09:19:00,12008,,,,,,,,,
2019/12/26,12042,12020,12022,12016,down,09:20:00,12020.0,down,09:50:00,12007,down,09:25:00,12020.0,32,10:01:00,34.0,10:01:00,6.0,09:26:00
2019/12/27,12059,12037,12074,12057,up,09:00:00,12063.0,up,09:14:00,12087,up,09:01:00,12063.0,32,09:16:00,44.0,09:35:00,7.0,09:01:00
2019/12/30,12096,12080,12105,12092,up,09:05:00,12097.0,up,09:09:00,12115,up,09:28:00,12097.0,0.0,10:45:00,15.0,09:46:00,21.0,10:27:00
2019/12/31,12029,11994,12035,12010,up,09:10:00,12019.0,up,09:14:00,12042,up,09:11:00,12035,-8,10:45:00,14,09:19:00,27,10:10:00
