date,max,max_time,min,min_time
2019/01/02,9762,08:50:00,9506,12:40:00
2019/01/03,9547,10:10:00,9433,09:25:00
2019/01/04,9410,11:30:00,9305,09:35:00
2019/01/07,9588,12:55:00,9490,09:40:00
2019/01/08,9611,08:55:00,9532,09:20:00
2019/01/09,9755,12:55:00,9602,09:05:00
2019/01/10,9713,10:10:00,9673,09:20:00
2019/01/11,9803,10:10:00,9724,09:35:00
2019/01/14,9756,09:15:00,9660,11:25:00
2019/01/15,9817,10:20:00,9715,09:05:00
2019/01/16,9804,10:35:00,9755,09:40:00
2019/01/17,9834,09:10:00,9721,09:50:00
2019/01/18,9846,11:20:00,9770,09:10:00
2019/01/21,9919,10:10:00,9856,09:25:00
2019/01/22,9868,09:30:00,9822,08:50:00
2019/01/23,9860,09:50:00,9807,13:05:00
2019/01/24,9884,09:10:00,9820,10:35:00
2019/01/25,9989,11:45:00,9911,09:30:00
2019/01/28,10018,10:10:00,9975,08:50:00
2019/01/29,9936,09:35:00,9880,10:45:00
2019/01/30,9956,11:25:00,9896,09:30:00
2019/02/11,10067,09:10:00,9966,09:55:00
2019/02/12,10093,12:35:00,10029,09:05:00
2019/02/13,10128,08:50:00,10055,10:25:00
2019/02/14,10124,09:50:00,10034,09:00:00
2019/02/15,10116,09:35:00,10022,10:45:00
2019/02/18,10161,10:35:00,10098,09:05:00
2019/02/19,10158,12:55:00,10104,08:50:00
2019/02/20,10262,09:50:00,10177,08:50:00
2019/02/21,10327,13:45:00,10232,09:35:00
2019/02/22,10312,13:45:00,10245,09:45:00
2019/02/25,10378,09:50:00,10324,10:50:00
2019/02/26,10394,09:20:00,10336,10:50:00
2019/02/27,10384,09:00:00,10325,09:25:00
2019/03/04,10400,08:50:00,10276,10:45:00
2019/03/05,10306,11:05:00,10248,08:50:00
2019/03/06,10333,10:40:00,10282,08:50:00
2019/03/07,10335,09:15:00,10260,13:45:00
2019/03/08,10244,10:50:00,10162,09:50:00
2019/03/11,10234,13:20:00,10168,08:50:00
2019/03/12,10385,11:10:00,10300,08:50:00
2019/03/13,10365,13:45:00,10305,10:35:00
2019/03/14,10392,08:50:00,10322,11:50:00
2019/03/15,10430,11:05:00,10347,08:50:00
2019/03/18,10487,13:35:00,10420,09:20:00
2019/03/19,10511,13:00:00,10461,10:00:00
2019/03/20,10549,13:05:00,10492,08:50:00
2019/03/21,10593,13:45:00,10532,08:50:00
2019/03/22,10659,09:40:00,10560,11:05:00
2019/03/25,10486,10:05:00,10423,12:45:00
2019/03/26,10538,09:40:00,10480,08:50:00
2019/03/27,10533,12:35:00,10473,09:20:00
2019/03/28,10515,12:10:00,10444,08:50:00
2019/03/29,10600,13:40:00,10476,09:25:00
2019/04/01,10715,09:10:00,10615,12:45:00
2019/04/02,10704,09:20:00,10668,11:05:00
2019/04/03,10728,09:05:00,10671,10:05:00
2019/04/08,10795,11:15:00,10745,09:20:00
2019/04/09,10848,13:35:00,10782,09:20:00
2019/04/10,10869,13:20:00,10812,09:50:00
2019/04/11,10885,09:35:00,10775,11:35:00
2019/04/12,10831,09:00:00,10782,11:20:00
2019/04/15,10895,10:55:00,10843,09:15:00
2019/04/16,10932,13:45:00,10863,08:55:00
2019/04/17,11010,13:05:00,10948,08:50:00
2019/04/18,11039,09:10:00,10920,13:05:00
2019/04/19,11036,09:40:00,10954,11:05:00
2019/04/22,11030,08:50:00,10958,12:00:00
2019/04/23,11024,13:45:00,10934,09:25:00
2019/04/24,11057,08:50:00,10970,12:45:00
2019/04/25,11041,10:25:00,10977,09:10:00
2019/04/26,10972,08:50:00,10900,11:25:00
2019/04/29,10978,09:25:00,10902,09:55:00
2019/04/30,10961,13:30:00,10883,08:50:00
2019/05/02,11033,09:30:00,10933,08:50:00
2019/05/03,11094,13:45:00,10975,08:55:00
2019/05/06,10980,08:50:00,10821,11:00:00
2019/05/07,10996,11:20:00,10900,08:50:00
2019/05/08,10943,10:55:00,10841,08:50:00
2019/05/09,10866,09:10:00,10716,12:45:00
2019/05/10,10850,10:00:00,10646,12:40:00
2019/05/13,10708,08:50:00,10565,13:35:00
2019/05/14,10571,10:35:00,10399,09:05:00
2019/05/15,10609,12:15:00,10513,08:55:00
2019/05/16,10574,10:45:00,10483,13:35:00
2019/05/17,10566,09:05:00,10406,13:35:00
2019/05/20,10485,09:45:00,10405,10:10:00
2019/05/21,10502,13:10:00,10378,09:05:00
2019/05/22,10515,10:15:00,10453,09:00:00
2019/05/23,10424,08:50:00,10285,10:25:00
2019/05/24,10386,09:40:00,10315,08:50:00
2019/05/27,10390,08:50:00,10284,10:45:00
2019/05/28,10374,08:50:00,10309,10:25:00
2019/05/29,10295,10:30:00,10218,08:50:00
2019/05/30,10382,13:05:00,10279,09:00:00
2019/05/31,10493,12:30:00,10330,08:50:00
2019/06/03,10477,13:45:00,10366,09:15:00
2019/06/04,10483,09:20:00,10401,10:50:00
2019/06/05,10510,09:05:00,10439,13:05:00
2019/06/06,10437,08:50:00,10351,12:25:00
2019/06/10,10546,13:20:00,10442,09:20:00
2019/06/11,10618,11:45:00,10533,09:10:00
2019/06/12,10611,13:05:00,10564,09:40:00
2019/06/13,10589,09:30:00,10497,10:20:00
2019/06/14,10558,10:35:00,10516,09:05:00
2019/06/17,10565,09:50:00,10460,09:15:00
2019/06/18,10576,09:05:00,10526,09:55:00
2019/06/19,10800,13:05:00,10667,08:50:00
2019/06/20,10605,11:30:00,10558,09:05:00
2019/06/21,10641,09:05:00,10564,12:40:00
2019/06/24,10647,10:55:00,10553,09:25:00
2019/06/25,10630,09:05:00,10523,12:30:00
2019/06/26,10541,09:10:00,10499,12:15:00
2019/06/27,10642,13:15:00,10532,08:50:00
2019/06/28,10627,09:05:00,10550,13:10:00
2019/07/01,10780,11:00:00,10693,09:00:00
2019/07/02,10766,09:50:00,10729,09:15:00
2019/07/03,10741,08:50:00,10202,08:50:00
2019/07/04,10729,09:40:00,10677,10:50:00
2019/07/05,10749,09:05:00,10682,10:00:00
2019/07/08,10711,09:30:00,10630,08:50:00
2019/07/09,10699,08:50:00,10631,11:30:00
2019/07/10,10741,13:20:00,10689,10:05:00
2019/07/11,10833,12:00:00,10772,09:20:00
2019/07/12,10830,10:10:00,10788,08:50:00
2019/07/15,10860,12:15:00,10730,09:35:00
2019/07/16,10892,11:40:00,10851,09:05:00
2019/07/17,10855,13:00:00,10805,11:10:00
2019/07/18,10676,09:35:00,10623,08:50:00
2019/07/19,10792,10:15:00,10727,13:45:00
2019/07/22,10798,11:30:00,10729,08:50:00
2019/07/23,10836,10:00:00,10785,10:50:00
2019/07/24,10835,09:05:00,10792,13:20:00
2019/07/25,10831,08:50:00,10769,09:10:00
2019/07/26,10795,10:20:00,10765,09:25:00
2019/07/29,10802,12:20:00,10744,09:05:00
2019/07/30,10836,09:05:00,10751,13:45:00
2019/07/31,10743,12:25:00,10674,10:35:00
2019/08/01,10697,10:10:00,10623,11:05:00
2019/08/02,10535,08:50:00,10441,10:40:00
2019/08/05,10460,09:10:00,10358,11:35:00
2019/08/06,10387,12:10:00,10095,08:50:00
2019/08/07,10375,09:05:00,10301,10:45:00
2019/08/08,10454,10:00:00,10340,09:05:00
2019/08/12,10477,10:30:00,10380,08:50:00
2019/08/13,10400,09:05:00,10319,10:05:00
2019/08/14,10492,09:20:00,10416,13:35:00
2019/08/15,10335,10:00:00,10242,08:50:00
2019/08/16,10421,13:10:00,10288,09:45:00
2019/08/19,10489,11:05:00,10419,08:50:00
2019/08/20,10530,11:15:00,10478,08:55:00
2019/08/21,10544,13:00:00,10505,08:50:00
2019/08/22,10564,09:35:00,10464,11:15:00
2019/08/23,10513,11:15:00,10460,09:35:00
2019/08/26,10367,10:50:00,10294,10:20:00
2019/08/27,10390,08:50:00,10343,13:30:00
2019/08/28,10438,09:35:00,10388,08:50:00
2019/08/30,10584,13:35:00,10517,08:50:00
2019/09/02,10615,13:30:00,10556,08:50:00
2019/09/03,10632,10:10:00,10537,13:15:00
2019/09/04,10657,13:25:00,10558,08:50:00
2019/09/05,10762,10:10:00,10703,09:25:00
2019/09/06,10783,12:20:00,10741,09:55:00
2019/09/09,10827,09:05:00,10773,10:50:00
2019/09/10,10814,08:50:00,10731,10:30:00
2019/09/11,10808,09:10:00,10751,10:20:00
2019/09/12,10870,09:00:00,10801,10:30:00
2019/09/16,10885,11:50:00,10802,08:50:00
2019/09/17,10910,08:50:00,10858,10:10:00
2019/09/18,10963,13:10:00,10884,09:10:00
2019/09/19,10936,09:30:00,10851,11:20:00
2019/09/20,10912,09:35:00,10884,09:55:00
2019/09/23,10929,09:55:00,10872,11:05:00
2019/09/24,10932,11:25:00,10865,09:50:00
2019/09/25,10873,08:50:00,10805,10:10:00
2019/09/26,10895,09:05:00,10828,12:20:00
2019/09/27,10897,09:05:00,10811,13:30:00
2019/10/01,10962,13:30:00,10856,08:50:00
2019/10/02,10948,10:45:00,10912,08:50:00
2019/10/03,10877,11:35:00,10773,08:55:00
2019/10/04,10912,09:10:00,10820,11:20:00
2019/10/07,10937,10:05:00,10886,09:05:00
2019/10/08,11021,11:00:00,10950,08:50:00
2019/10/09,10969,09:30:00,10880,13:45:00
2019/10/14,11092,10:15:00,11030,09:20:00
2019/10/15,11122,10:55:00,11073,08:50:00
2019/10/16,11171,10:45:00,11130,09:40:00
2019/10/17,11161,13:40:00,11117,09:05:00
2019/10/18,11223,09:15:00,11132,11:05:00
2019/10/21,11168,11:15:00,11133,09:35:00
2019/10/22,11252,09:20:00,11191,10:00:00
2019/10/23,11254,09:40:00,11182,12:15:00
2019/10/24,11292,13:45:00,11225,08:50:00
2019/10/25,11328,09:00:00,11264,09:50:00
2019/10/28,11342,08:50:00,11291,09:50:00
2019/10/29,11366,09:45:00,11293,12:25:00
2019/10/30,11351,13:05:00,11295,09:10:00
2019/10/31,11396,09:50:00,11341,13:30:00
2019/11/01,11377,13:35:00,11316,09:20:00
2019/11/04,11554,13:25:00,11413,08:50:00
2019/11/05,11650,13:45:00,11566,09:05:00
2019/11/06,11675,13:10:00,11600,10:45:00
2019/11/07,11637,09:35:00,11558,11:40:00
2019/11/08,11648,08:50:00,11554,10:30:00
2019/11/11,11581,08:50:00,11424,13:05:00
2019/11/12,11528,13:45:00,11466,10:05:00
2019/11/13,11494,09:35:00,11428,10:10:00
2019/11/14,11496,09:05:00,11413,11:00:00
2019/11/15,11563,09:10:00,11480,08:50:00
2019/11/18,11594,13:35:00,11507,08:50:00
2019/11/19,11654,13:35:00,11563,09:00:00
2019/11/20,11644,08:55:00,11594,12:00:00
2019/11/21,11551,13:35:00,11450,10:00:00
2019/11/22,11592,08:50:00,11531,11:10:00
2019/11/25,11629,09:00:00,11559,13:30:00
2019/11/26,11658,09:50:00,11603,09:10:00
2019/11/27,11651,13:30:00,11596,09:40:00
2019/11/29,11613,08:50:00,11462,13:45:00
2019/12/02,11533,09:05:00,11459,10:05:00
2019/12/03,11527,11:25:00,11439,08:50:00
2019/12/04,11505,13:45:00,11443,11:15:00
2019/12/05,11618,09:45:00,11532,09:00:00
2019/12/06,11670,09:00:00,11580,12:40:00
2019/12/09,11699,10:45:00,11633,09:10:00
2019/12/10,11656,08:50:00,11605,13:00:00
2019/12/11,11706,13:45:00,11594,08:50:00
2019/12/12,11888,11:00:00,11754,08:50:00
2019/12/13,12007,08:50:00,11917,10:30:00
2019/12/16,11976,10:25:00,11922,09:05:00
2019/12/17,12102,13:45:00,11945,09:00:00
2019/12/18,12129,12:25:00,12065,08:50:00
2019/12/19,12115,08:50:00,12015,13:30:00
2019/12/20,12063,08:50:00,11951,09:25:00
2019/12/23,12028,09:10:00,11972,09:45:00
2019/12/24,12044,08:50:00,11983,13:36:00
2019/12/25,12027,13:25:00,11976,09:00:00
2019/12/26,12042,08:50:00,11986,10:05:00
2019/12/27,12112,10:55:00,12037,08:50:00
2019/12/30,12125,09:15:00,12065,13:10:00
2019/12/31,12049,09:20:00,11992,13:45:00
2020/01/02,12120,12:20:00,12023,09:25:00
2020/01/03,12198,09:20:00,11996,10:50:00
2020/01/06,12034,08:50:00,11948,13:45:00
2020/01/07,12009,08:50:00,11816,11:25:00
2020/01/08,11892,10:50:00,11697,08:50:00
2020/01/09,11998,10:55:00,11883,09:05:00
2020/01/10,12042,09:05:00,11953,10:05:00
2020/01/13,12121,11:05:00,12044,09:10:00
2020/01/14,12199,09:50:00,12148,13:05:00
2020/01/15,12175,09:15:00,12058,13:10:00
2020/01/16,12078,10:05:00,11990,09:05:00
2020/01/17,12118,08:50:00,12029,09:50:00
2020/01/20,12160,10:35:00,12097,09:10:00
2020/01/30,11798,08:55:00,11366,13:45:00
2020/01/31,11567,09:20:00,11407,10:00:00
2020/02/03,11370,10:20:00,11152,09:10:00
2020/02/04,11557,11:40:00,11362,08:50:00
2020/02/05,11620,10:35:00,11474,09:15:00
2020/02/06,11744,13:30:00,11628,09:05:00
2020/02/07,11666,08:50:00,11566,13:05:00
2020/02/10,11598,10:40:00,11402,09:10:00
2020/02/11,11689,10:50:00,11613,09:10:00
2020/02/12,11797,13:10:00,11647,08:55:00
2020/02/13,11837,09:15:00,11762,12:55:00
2020/02/14,11852,11:10:00,11755,08:50:00
2020/02/17,11792,09:50:00,11702,08:50:00
2020/02/18,11719,08:50:00,11627,12:30:00
