date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2020/01/02,12068,12040,12071,12050,up,09:10:00,12057.0,down,09:24:00,12024,up,09:15:00,12057.0,-28,09:22:00,47.0,10:41:00,34.0,09:24:00
2020/01/03,12190,12173,12194,12167,down,09:05:00,12185.0,down,09:29:00,12160,down,09:17:00,12185.0,32,09:31:00,156.0,10:34:00,13.0,09:19:00
2020/01/06,12034,12000,12009,11990,down,09:40:00,12002.0,down,09:44:00,11987,,,,,,,,,
2020/01/07,12009,11991,11997,11986,down,09:00:00,11993.0,down,09:05:00,11978,down,09:01:00,11993.0,40,09:17:00,165.0,10:45:00,3.0,09:02:00
2020/01/08,11782,11697,11798,11762,up,09:05:00,11774.0,up,09:04:00,11795,up,09:04:00,11795,-14,09:04:00,95,10:42:00,29,09:39:00
2020/01/09,11920,11885,11935,11896,up,09:15:00,11909.0,up,09:15:00,11933,up,09:15:00,11933,0,09:25:00,20,09:23:00,13,09:15:00
2020/01/10,12014,11993,12025,12001,up,09:00:00,12009.0,up,09:04:00,12027,up,09:05:00,12009.0,-22,09:11:00,14.0,09:09:00,56.0,10:05:00
2020/01/13,12103,12047,12083,12044,down,09:10:00,12070.0,up,11:00:00,12116,down,09:11:00,12044,-28,09:14:00,0,,62,10:31:00
2020/01/14,12192,12174,12183,12168,down,09:05:00,12178.0,down,11:54:00,12161,down,09:11:00,12178.0,0,10:07:00,17.0,10:01:00,21.0,09:47:00
2020/01/15,12168,12155,12172,12153,up,09:10:00,12160.0,down,09:34:00,12142,up,09:12:00,12160.0,-28,10:06:00,12.0,09:18:00,65.0,10:33:00
2020/01/16,12043,12012,12024,11996,down,09:00:00,12014.0,down,09:00:00,11999,down,09:00:00,11999,-20,09:02:00,9,09:01:00,79,10:01:00
2020/01/17,12118,12102,12105,12091,down,09:00:00,12100.0,down,09:04:00,12089,down,09:02:00,12100.0,40,09:25:00,71.0,09:46:00,2.0,09:02:00
